Date,Class,Transaction Category,Debit,Credit
07/05/2026,2006,Subject to Tax,,101.28
07/05/2026,2006,Non-Taxable Sales,,2656.02
07/05/2026,2006,3rd Party Tax Exempt,,17.88
07/05/2026,2006,Register Audit,163,
07/05/2026,2006,Sales Tax,,7.28
07/05/2026,2006,In-Store Credit Card,951.57,
07/05/2026,2006,Online Credit card,1088.81,
07/05/2026,2006,Online Gift Card,20,
07/05/2026,2006,Online Credit Card Tips,,46
07/05/2026,2006,In-Store Credit Card Tips,,53.72
07/05/2026,2006,Gift Card,10.45,
07/05/2026,2006,3rd Party - DoorDash,479.85,
07/05/2026,2006,3rd Party - UberEats,169.08,
07/05/2026,2006,Cash Over/Short Adjustment,,0.58
07/05/2026,2016,Subject to Tax,,104.95
07/05/2026,2016,Non-Taxable Sales,,3454.56
07/05/2026,2016,3rd Party Tax Exempt,,11.16
07/05/2026,2016,Register Audit,131,
07/05/2026,2016,Sales Tax,,7.08
07/05/2026,2016,In-Store Credit Card,1691.02,
07/05/2026,2016,Payout,19.39,
07/05/2026,2016,Online Credit card,1253.34,
07/05/2026,2016,Online Gift Card,60.35,
07/05/2026,2016,Online Credit Card Tips,,21
07/05/2026,2016,In-Store Credit Card Tips,,77.63
07/05/2026,2016,Online Gift Card Tips,,1
07/05/2026,2016,Gift Card,3.6,
07/05/2026,2016,3rd Party - DoorDash,446.78,
07/05/2026,2016,3rd Party - UberEats,71.82,
07/05/2026,2016,Cash Over/Short Adjustment,0.08,
07/05/2026,2017,Subject to Tax,,74.08
07/05/2026,2017,Non-Taxable Sales,,2648.27
07/05/2026,2017,3rd Party Tax Exempt,,14.88
07/05/2026,2017,Register Audit,117,
07/05/2026,2017,Sales Tax,,5.39
07/05/2026,2017,In-Store Credit Card,1230.87,
07/05/2026,2017,Online Credit card,982.85,
07/05/2026,2017,Online Gift Card,60.15,
07/05/2026,2017,Online Credit Card Tips,,36.52
07/05/2026,2017,In-Store Credit Card Tips,,97.71
07/05/2026,2017,Online Gift Card Tips,,2
07/05/2026,2017,Gift Card,6.05,
07/05/2026,2017,3rd Party - DoorDash,328.66,
07/05/2026,2017,3rd Party - GrubHub,28.07,
07/05/2026,2017,3rd Party - UberEats,125.75,
07/05/2026,2017,Cash Over/Short Adjustment,,0.55
07/05/2026,2020,Subject to Tax,,311.27
07/05/2026,2020,Non-Taxable Sales,,3303.56
07/05/2026,2020,3rd Party Tax Exempt,,11.4
07/05/2026,2020,Register Audit,381,
07/05/2026,2020,Sales Tax,,22.56
07/05/2026,2020,In-Store Credit Card,1760.53,
07/05/2026,2020,Payout,47.97,
07/05/2026,2020,Online Credit card,884.18,
07/05/2026,2020,Online Gift Card,19.15,
07/05/2026,2020,Online Credit Card Tips,,22
07/05/2026,2020,In-Store Credit Card Tips,,117.19
07/05/2026,2020,Online Gift Card Tips,,1
07/05/2026,2020,Gift Card,160.02,
07/05/2026,2020,3rd Party - DoorDash,492.25,
07/05/2026,2020,3rd Party - GrubHub,24.11,
07/05/2026,2020,3rd Party - UberEats,19.72,
07/05/2026,2020,Cash Over/Short Adjustment,0.05,
07/05/2026,2023,Subject to Tax,,86.42
07/05/2026,2023,Non-Taxable Sales,,3885.98
07/05/2026,2023,3rd Party Tax Exempt,,21.96
07/05/2026,2023,Register Audit,191,
07/05/2026,2023,Sales Tax,,6.04
07/05/2026,2023,In-Store Credit Card,1631.72,
07/05/2026,2023,Online Credit card,1190.99,
07/05/2026,2023,Online Credit Card Tips,,29
07/05/2026,2023,In-Store Credit Card Tips,,99.23
07/05/2026,2023,Gift Card,46.97,
07/05/2026,2023,3rd Party - DoorDash,832.8,
07/05/2026,2023,3rd Party - GrubHub,37.07,
07/05/2026,2023,3rd Party - UberEats,198.09,
07/05/2026,2023,Cash Over/Short Adjustment,,0.01
07/05/2026,2024,Subject to Tax,,204.77
07/05/2026,2024,Non-Taxable Sales,,3499.27
07/05/2026,2024,3rd Party Tax Exempt,,14.88
07/05/2026,2024,Register Audit,209.09,
07/05/2026,2024,Sales Tax,,15.98
07/05/2026,2024,In-Store Credit Card,2005.04,
07/05/2026,2024,Online Credit card,1139.41,
07/05/2026,2024,Online Credit Card Tips,,29
07/05/2026,2024,In-Store Credit Card Tips,,135.78
07/05/2026,2024,Gift Card,90.3,
07/05/2026,2024,Gift Card Sold,,20
07/05/2026,2024,3rd Party - DoorDash,354.96,
07/05/2026,2024,3rd Party - GrubHub,37.56,
07/05/2026,2024,3rd Party - UberEats,83.32,
07/05/2026,2047,Subject to Tax,,175.66
07/05/2026,2047,Non-Taxable Sales,,3366.27
07/05/2026,2047,3rd Party Tax Exempt,,11.16
07/05/2026,2047,Register Audit,192,
07/05/2026,2047,Sales Tax,,12.82
07/05/2026,2047,In-Store Credit Card,1773.88,
07/05/2026,2047,Online Credit card,1114.13,
07/05/2026,2047,Online Credit Card Tips,,26.1
07/05/2026,2047,In-Store Credit Card Tips,,86.76
07/05/2026,2047,3rd Party - DoorDash,427.04,
07/05/2026,2047,3rd Party - GrubHub,53.04,
07/05/2026,2047,3rd Party - UberEats,119.48,
07/05/2026,2047,Cash Over/Short Adjustment,,0.8
07/05/2026,4003,Subject to Tax,,3573.49
07/05/2026,4003,Register Audit,132,
07/05/2026,4003,Sales Tax,,348.38
07/05/2026,4003,In-Store Credit Card,2260.62,
07/05/2026,4003,Online Credit card,776.65,
07/05/2026,4003,Online Credit Card Tips,,14.5
07/05/2026,4003,In-Store Credit Card Tips,,170.55
07/05/2026,4003,Gift Card,53.04,
07/05/2026,4003,3rd Party - DoorDash,685.25,
07/05/2026,4003,3rd Party - UberEats,199.16,
07/05/2026,4003,Cash Over/Short Adjustment,0.2,
07/05/2026,4004,Subject to Tax,,3127.49
07/05/2026,4004,Register Audit,193,
07/05/2026,4004,Sales Tax,,304.9
07/05/2026,4004,In-Store Credit Card,1786.66,
07/05/2026,4004,Online Credit card,524.13,
07/05/2026,4004,Online Credit Card Tips,,10
07/05/2026,4004,In-Store Credit Card Tips,,101.93
07/05/2026,4004,Gift Card,13.83,
07/05/2026,4004,3rd Party - DoorDash,587.03,
07/05/2026,4004,3rd Party - GrubHub,46.36,
07/05/2026,4004,3rd Party - UberEats,392.39,
07/05/2026,4004,Cash Over/Short Adjustment,0.92,
07/05/2026,4005,Subject to Tax,,4477.15
07/05/2026,4005,Register Audit,231,
07/05/2026,4005,Sales Tax,,436.56
07/05/2026,4005,In-Store Credit Card,2642.49,
07/05/2026,4005,Online Credit card,1292.83,
07/05/2026,4005,In-Store Credit Card Tips,,212.81
07/05/2026,4005,Gift Card,10,
07/05/2026,4005,3rd Party - DoorDash,340.11,
07/05/2026,4005,3rd Party - UberEats,609.47,
07/05/2026,4005,Cash Over/Short Adjustment,0.62,
07/05/2026,4008,Subject to Tax,,3140.54
07/05/2026,4008,Register Audit,280,
07/05/2026,4008,Sales Tax,,306.19
07/05/2026,4008,In-Store Credit Card,1522.49,
07/05/2026,4008,Online Credit card,1278.14,
07/05/2026,4008,Online Credit Card Tips,,36.5
07/05/2026,4008,In-Store Credit Card Tips,,108.54
07/05/2026,4008,Gift Card,20,
07/05/2026,4008,3rd Party - DoorDash,353.43,
07/05/2026,4008,3rd Party - UberEats,137.81,
07/05/2026,4008,Cash Over/Short Adjustment,,0.1
07/05/2026,4009,Subject to Tax,,2264.16
07/05/2026,4009,Register Audit,443,
07/05/2026,4009,Sales Tax,,220.75
07/05/2026,4009,In-Store Credit Card,1062.42,
07/05/2026,4009,Online Credit card,205.65,
07/05/2026,4009,Online Credit Card Tips,,8
07/05/2026,4009,In-Store Credit Card Tips,,64.07
07/05/2026,4009,3rd Party - DoorDash,503.01,
07/05/2026,4009,3rd Party - UberEats,343.73,
07/05/2026,4009,Cash Over/Short Adjustment,,0.83
07/05/2026,4010,Subject to Tax,,2943.63
07/05/2026,4010,Register Audit,186,
07/05/2026,4010,Sales Tax,,287.04
07/05/2026,4010,In-Store Credit Card,1628.15,
07/05/2026,4010,Online Credit card,722.24,
07/05/2026,4010,Online Gift Card,25,
07/05/2026,4010,In-Store Credit Card Tips,,135.46
07/05/2026,4010,Gift Card,51.26,
07/05/2026,4010,3rd Party - DoorDash,475.78,
07/05/2026,4010,3rd Party - UberEats,277.66,
07/05/2026,4010,Cash Over/Short Adjustment,0.04,
07/05/2026,4015,Subject to Tax,,4351.2
07/05/2026,4015,Register Audit,314,
07/05/2026,4015,Sales Tax,,424.17
07/05/2026,4015,In-Store Credit Card,2150.57,
07/05/2026,4015,Online Credit card,1897.44,
07/05/2026,4015,Online Credit Card Tips,,57
07/05/2026,4015,In-Store Credit Card Tips,,155.92
07/05/2026,4015,Gift Card,23.48,
07/05/2026,4015,3rd Party - DoorDash,442.4,
07/05/2026,4015,3rd Party - UberEats,160.01,
07/05/2026,4015,Cash Over/Short Adjustment,0.39,
07/05/2026,4021,Subject to Tax,,2725.13
